task_id,arrival_time,completion_time,execution_time,latency,energy_consumption,vm_id,device_mobility_status,velocity_mps,deadline,resource_history_count,completion_rate_CR,execution_efficiency_EI,x1_delay_score,x2_energy_score,x3_resource_availability_score,x4_link_stability_score,y_tcri,x1,x2,x3,x4,y
4504,64.64,805.59,712.18,740.95,0.785,2,medium,7.0,1068.27,0,0.5,0.5,0.306402,0.6075,0.5,0.496585,0.955384,0.306402,0.6075,0.5,0.496585,0.955384
129,69.52,386.99,288.47,317.47,0.964,1,high,15.0,432.705,0,0.5,0.5,0.266313,0.518,0.5,0.22313,0.934816,0.266313,0.518,0.5,0.22313,0.934816
1516,75.63,303.24,222.42,227.61,0.913,4,low,2.0,333.63,0,0.5,0.5,0.317777,0.5435,0.5,0.818731,0.959989,0.317777,0.5435,0.5,0.818731,0.959989
2296,76.64,321.34,206.56,244.7,1.175,10,static,0.0,309.84,0,0.5,0.5,0.210238,0.4125,0.5,1.0,0.891134,0.210238,0.4125,0.5,1.0,0.891134
2762,78.42,384.13,294.0,305.71,0.621,3,static,0.0,441.0,0,0.5,0.5,0.30678,0.6895,0.5,1.0,0.955545,0.30678,0.6895,0.5,1.0,0.955545
3099,83.2,1102.36,986.55,1019.16,0.915,9,low,2.0,1479.825,0,0.5,0.5,0.311297,0.5425,0.5,0.818731,0.957425,0.311297,0.5425,0.5,0.818731,0.957425
3314,83.64,530.12,399.02,446.48,0.536,7,low,2.0,598.53,0,0.5,0.5,0.254039,0.732,0.5,0.818731,0.926925,0.254039,0.732,0.5,0.818731,0.926925
2529,88.63,909.62,787.22,820.99,0.372,7,low,2.0,1180.83,0,0.5,0.5,0.304735,0.814,0.5,0.818731,0.954668,0.304735,0.814,0.5,0.818731,0.954668
3108,90.54,586.85,449.35,496.31,0.997,10,static,0.0,674.025,0,0.5,0.5,0.263662,0.5015,0.5,1.0,0.933182,0.263662,0.5015,0.5,1.0,0.933182
5384,90.87,271.78,136.95,180.91,0.759,10,static,0.0,205.425,0,0.5,0.5,0.119338,0.6205,0.5,1.0,0.767345,0.119338,0.6205,0.5,1.0,0.767345
206,91.97,280.24,141.15,188.27,0.784,7,high,15.0,211.725,0,0.5,0.5,0.11078,0.608,0.5,0.22313,0.75172,0.11078,0.608,0.5,0.22313,0.75172
5475,98.28,344.63,207.73,246.35,1.361,4,medium,7.0,311.595,0,0.5,0.5,0.20939,0.3195,0.5,0.496585,0.890309,0.20939,0.3195,0.5,0.496585,0.890309
4757,99.11,567.66,439.73,468.55,1.07,6,low,2.0,659.595,0,0.5,0.5,0.28964,0.465,0.5,0.818731,0.947668,0.28964,0.465,0.5,0.818731,0.947668
3272,99.79,477.86,337.49,378.07,1.16,9,static,0.0,506.235,0,0.5,0.5,0.253173,0.42,0.5,1.0,0.926336,0.253173,0.42,0.5,1.0,0.926336
2350,101.31,1094.01,963.16,992.7,0.485,10,static,0.0,1444.74,0,0.5,0.5,0.312887,0.7575,0.5,1.0,0.958068,0.312887,0.7575,0.5,1.0,0.958068
5302,105.13,182.94,40.09,77.81,1.134,10,low,2.0,60.135,0,0.5,0.5,0.0,0.433,0.5,0.818731,0.050248,0.0,0.433,0.5,0.818731,0.050248
3783,108.11,557.98,402.92,449.87,0.255,7,high,15.0,604.38,0,0.5,0.5,0.25565,0.8725,0.5,0.22313,0.928009,0.25565,0.8725,0.5,0.22313,0.928009
408,108.38,506.92,379.62,398.54,1.305,6,medium,7.0,569.43,0,0.5,0.5,0.300107,0.3475,0.5,0.496585,0.952622,0.300107,0.3475,0.5,0.496585,0.952622
946,109.96,956.13,838.49,846.17,1.027,4,static,0.0,1257.735,0,0.5,0.5,0.327227,0.4865,0.5,1.0,0.963465,0.327227,0.4865,0.5,1.0,0.963465
457,113.54,226.02,106.4,112.48,1.176,9,high,15.0,159.6,0,0.5,0.5,0.295238,0.412,0.5,0.22313,0.950376,0.295238,0.412,0.5,0.22313,0.950376
2978,114.18,260.67,96.9,146.49,0.413,9,static,0.0,145.35,0,0.5,0.5,0.0,0.7935,0.5,1.0,0.480402,0.0,0.7935,0.5,1.0,0.480402
1265,116.21,327.29,190.8,211.08,0.563,9,medium,7.0,286.2,0,0.5,0.5,0.262474,0.7185,0.5,0.496585,0.932437,0.262474,0.7185,0.5,0.496585,0.932437
5070,120.03,520.06,380.79,400.03,0.447,5,high,15.0,571.185,0,0.5,0.5,0.299649,0.7765,0.5,0.22313,0.952415,0.299649,0.7765,0.5,0.22313,0.952415
2818,121.03,431.97,290.63,310.94,1.267,1,high,15.0,435.945,0,0.5,0.5,0.286745,0.3665,0.5,0.22313,0.946214,0.286745,0.3665,0.5,0.22313,0.946214
471,121.54,699.74,567.03,578.2,0.129,10,low,2.0,850.545,0,0.5,0.5,0.320201,0.9355,0.5,0.818731,0.96091,0.320201,0.9355,0.5,0.818731,0.96091
2225,124.04,268.47,107.98,144.43,1.308,10,low,2.0,161.97,0,0.5,0.5,0.108292,0.346,0.5,0.818731,0.747046,0.108292,0.346,0.5,0.818731,0.747046
2132,126.08,1043.88,902.25,917.8,0.559,2,medium,7.0,1353.375,0,0.5,0.5,0.321844,0.7205,0.5,0.496585,0.961522,0.321844,0.7205,0.5,0.496585,0.961522
841,130.94,1046.84,866.35,915.9,1.195,6,low,2.0,1299.525,0,0.5,0.5,0.295204,0.4025,0.5,0.818731,0.95036,0.295204,0.4025,0.5,0.818731,0.95036
4813,132.29,1054.57,903.75,922.28,0.219,5,low,2.0,1355.625,0,0.5,0.5,0.319664,0.8905,0.5,0.818731,0.960708,0.319664,0.8905,0.5,0.818731,0.960708
5347,141.97,368.28,187.84,226.31,1.091,6,static,0.0,281.76,0,0.5,0.5,0.196799,0.4545,0.5,1.0,0.877395,0.196799,0.4545,0.5,1.0,0.877395
333,143.93,1063.55,877.17,919.62,0.536,7,low,2.0,1315.755,0,0.5,0.5,0.30107,0.732,0.5,0.818731,0.953055,0.30107,0.732,0.5,0.818731,0.953055
564,145.45,399.84,217.25,254.39,1.165,8,high,15.0,325.875,0,0.5,0.5,0.219363,0.4175,0.5,0.22313,0.899676,0.219363,0.4175,0.5,0.22313,0.899676
3067,151.11,538.73,339.68,387.62,0.506,7,low,2.0,509.52,0,0.5,0.5,0.239245,0.747,0.5,0.818731,0.91625,0.239245,0.747,0.5,0.818731,0.91625
4136,162.43,517.02,337.58,354.59,0.764,7,high,15.0,506.37,0,0.5,0.5,0.299741,0.618,0.5,0.22313,0.952457,0.299741,0.618,0.5,0.22313,0.952457
3946,165.92,435.69,250.29,269.77,1.005,1,high,15.0,375.435,0,0.5,0.5,0.281447,0.4975,0.5,0.22313,0.943453,0.281447,0.4975,0.5,0.22313,0.943453
5785,169.13,986.29,799.02,817.16,0.782,3,low,2.0,1198.53,2,0.5,1.0,0.318198,0.609,0.75,0.818731,0.960151,0.318198,0.609,0.75,0.818731,0.960151
2704,169.48,540.51,326.12,371.03,0.452,3,high,15.0,489.18,2,0.5,1.0,0.241527,0.774,0.75,0.22313,0.917984,0.241527,0.774,0.75,0.22313,0.917984
2709,175.52,1034.46,847.73,858.94,0.343,6,low,2.0,1271.595,0,0.5,0.5,0.324518,0.8285,0.5,0.818731,0.962499,0.324518,0.8285,0.5,0.818731,0.962499
2213,180.07,619.27,416.4,439.2,1.432,9,high,15.0,624.6,0,0.5,0.5,0.29683,0.284,0.5,0.22313,0.951121,0.29683,0.284,0.5,0.22313,0.951121
372,182.22,314.09,125.17,131.87,1.44,8,medium,7.0,187.755,0,0.5,0.5,0.297649,0.28,0.5,0.496585,0.9515,0.297649,0.28,0.5,0.496585,0.9515
1514,182.33,309.44,77.33,127.11,0.18,9,low,2.0,115.995,0,0.5,0.5,0.0,0.91,0.5,0.818731,0.277233,0.0,0.91,0.5,0.818731,0.277233
937,183.91,311.9,83.33,127.99,1.276,9,low,2.0,124.995,0,0.5,0.5,0.0,0.362,0.5,0.818731,0.440383,0.0,0.362,0.5,0.818731,0.440383
3471,191.45,1160.5,943.48,969.05,1.096,8,high,15.0,1415.22,0,0.5,0.5,0.315265,0.452,0.5,0.22313,0.959013,0.315265,0.452,0.5,0.22313,0.959013
1747,191.92,746.3,512.82,554.38,0.861,4,high,15.0,769.23,0,0.5,0.5,0.279305,0.5695,0.5,0.22313,0.942299,0.279305,0.5695,0.5,0.22313,0.942299
2686,193.28,1200.97,994.35,1007.69,0.209,2,high,15.0,1491.525,0,0.5,0.5,0.324389,0.8955,0.5,0.22313,0.962453,0.324389,0.8955,0.5,0.22313,0.962453
4552,201.38,1206.88,958.09,1005.5,0.509,4,static,0.0,1437.135,0,0.5,0.5,0.300344,0.7455,0.5,1.0,0.952729,0.300344,0.7455,0.5,1.0,0.952729
4235,209.34,875.79,623.16,666.45,1.047,7,static,0.0,934.74,0,0.5,0.5,0.287021,0.4765,0.5,1.0,0.946354,0.287021,0.4765,0.5,1.0,0.946354
1814,209.45,775.95,518.3,566.5,1.301,6,static,0.0,777.45,0,0.5,0.5,0.271336,0.3495,0.5,1.0,0.93781,0.271336,0.3495,0.5,1.0,0.93781
5173,210.09,593.53,363.32,383.44,1.466,9,static,0.0,544.98,0,0.5,0.5,0.296415,0.267,0.5,1.0,0.950928,0.296415,0.267,0.5,1.0,0.950928
1050,212.69,303.12,81.19,90.43,1.335,10,static,0.0,121.785,1,0.0,1.0,0.257462,0.3325,0.5,1.0,0.92921,0.257462,0.3325,0.5,1.0,0.92921
2019,218.23,350.41,104.11,132.18,0.973,9,medium,7.0,156.165,0,0.5,0.5,0.153588,0.5135,0.5,0.496585,0.822864,0.153588,0.5135,0.5,0.496585,0.822864
4327,220.66,900.38,652.6,679.72,0.611,6,high,15.0,978.9,0,0.5,0.5,0.305629,0.6945,0.5,0.22313,0.955053,0.305629,0.6945,0.5,0.22313,0.955053
3413,224.26,530.38,273.71,306.12,1.417,7,low,2.0,410.565,0,0.5,0.5,0.254393,0.2915,0.5,0.818731,0.927165,0.254393,0.2915,0.5,0.818731,0.927165
4520,225.65,954.25,714.94,728.6,0.954,2,low,2.0,1072.41,0,0.5,0.5,0.320596,0.523,0.5,0.818731,0.961058,0.320596,0.523,0.5,0.818731,0.961058
3951,237.08,437.04,155.43,199.96,0.891,9,static,0.0,233.145,1,1.0,1.0,0.142336,0.5545,1.0,1.0,0.805865,0.142336,0.5545,1.0,1.0,0.805865
1048,244.01,1164.14,910.49,920.13,0.656,4,low,2.0,1365.735,0,0.5,0.5,0.326275,0.672,0.5,0.818731,0.963129,0.326275,0.672,0.5,0.818731,0.963129
2976,251.93,802.3,500.86,550.37,1.089,10,static,0.0,751.29,1,0.0,1.0,0.267433,0.4555,0.5,1.0,0.935495,0.267433,0.4555,0.5,1.0,0.935495
4487,251.99,624.56,365.48,372.57,0.719,7,high,15.0,548.22,0,0.5,0.5,0.320401,0.6405,0.5,0.22313,0.960985,0.320401,0.6405,0.5,0.22313,0.960985
4889,253.49,675.08,377.0,421.59,1.472,6,low,2.0,565.5,0,0.5,0.5,0.254483,0.264,0.5,0.818731,0.927225,0.254483,0.264,0.5,0.818731,0.927225
313,253.51,1275.44,999.47,1021.93,0.164,7,medium,7.0,1499.205,0,0.5,0.5,0.318352,0.918,0.5,0.496585,0.960209,0.318352,0.918,0.5,0.496585,0.960209
875,253.86,314.32,25.96,60.46,1.118,8,medium,7.0,38.94,0,0.5,0.5,0.0,0.441,0.5,0.496585,0.003964,0.0,0.441,0.5,0.496585,0.003964
99,254.19,437.56,172.92,183.37,0.652,10,static,0.0,259.38,1,0.0,1.0,0.293045,0.674,0.5,1.0,0.949331,0.293045,0.674,0.5,1.0,0.949331
3926,257.7,963.17,689.5,705.47,0.188,1,medium,7.0,1034.25,0,0.5,0.5,0.317892,0.906,0.5,0.496585,0.960033,0.317892,0.906,0.5,0.496585,0.960033
1697,258.12,636.73,333.67,378.61,0.515,3,high,15.0,500.505,2,0.5,1.0,0.243544,0.7425,0.75,0.22313,0.91949,0.243544,0.7425,0.75,0.22313,0.91949
1970,261.97,746.91,460.95,484.94,0.899,4,static,0.0,691.425,0,0.5,0.5,0.298637,0.5505,0.5,1.0,0.951954,0.298637,0.5505,0.5,1.0,0.951954
516,263.67,1247.27,951.24,983.6,0.699,3,static,0.0,1426.86,2,0.5,1.0,0.310654,0.6505,0.75,1.0,0.957162,0.310654,0.6505,0.75,1.0,0.957162
5647,266.08,599.52,314.08,333.44,0.95,4,low,2.0,471.12,0,0.5,0.5,0.29224,0.525,0.5,0.818731,0.948943,0.29224,0.525,0.5,0.818731,0.948943
879,270.96,394.27,82.01,123.31,1.303,3,high,15.0,123.015,2,0.5,1.0,0.0,0.3485,0.75,0.22313,0.494005,0.0,0.3485,0.75,0.22313,0.494005
2081,271.67,818.57,508.53,546.9,0.926,5,low,2.0,762.795,0,0.5,0.5,0.283031,0.537,0.5,0.818731,0.944292,0.283031,0.537,0.5,0.818731,0.944292
2414,275.37,671.35,356.4,395.98,0.321,3,medium,7.0,534.6,2,0.5,1.0,0.259297,0.8395,0.75,0.496585,0.930408,0.259297,0.8395,0.75,0.496585,0.930408
4100,278.52,621.58,334.87,343.06,0.347,4,medium,7.0,502.305,1,1.0,1.0,0.317028,0.8265,1.0,0.496585,0.959701,0.317028,0.8265,1.0,0.496585,0.959701
5775,281.22,970.43,667.13,689.21,1.365,6,static,0.0,1000.695,0,0.5,0.5,0.311269,0.3175,0.5,1.0,0.957413,0.311269,0.3175,0.5,1.0,0.957413
3963,286.52,723.66,427.16,437.14,0.314,4,static,0.0,640.74,1,1.0,1.0,0.317758,0.843,1.0,1.0,0.959982,0.317758,0.843,1.0,1.0,0.959982
2830,291.7,1133.22,828.89,841.52,0.831,6,static,0.0,1243.335,0,0.5,0.5,0.323175,0.5845,0.5,1.0,0.962012,0.323175,0.5845,0.5,1.0,0.962012
1436,299.74,978.06,671.86,678.32,0.231,8,static,0.0,1007.79,1,1.0,1.0,0.326923,0.8845,1.0,1.0,0.963358,0.326923,0.8845,1.0,1.0,0.963358
3504,300.26,877.27,559.71,577.01,0.603,2,static,0.0,839.565,0,0.5,0.5,0.312727,0.6985,0.5,1.0,0.958004,0.312727,0.6985,0.5,1.0,0.958004
5439,303.54,1172.32,853.69,868.78,0.953,6,medium,7.0,1280.535,0,0.5,0.5,0.321549,0.5235,0.5,0.496585,0.961413,0.321549,0.5235,0.5,0.496585,0.961413
1455,303.87,434.09,88.46,130.22,1.128,9,medium,7.0,132.69,2,0.5,0.870241,0.018615,0.436,0.685121,0.496585,0.546403,0.018615,0.436,0.685121,0.496585,0.546403
291,305.0,1044.6,725.46,739.6,1.274,10,low,2.0,1088.19,4,0.75,1.0,0.320339,0.363,0.875,0.818731,0.960962,0.320339,0.363,0.875,0.818731,0.960962
1340,306.53,1085.04,772.27,778.51,1.149,9,high,15.0,1158.405,2,0.5,1.0,0.327947,0.4255,0.75,0.22313,0.963718,0.327947,0.4255,0.75,0.22313,0.963718
3383,311.49,1136.53,811.69,825.04,1.066,10,high,15.0,1217.535,4,0.75,1.0,0.322369,0.467,0.875,0.22313,0.961716,0.322369,0.467,0.875,0.22313,0.961716
975,311.83,1224.13,876.0,912.3,1.278,3,low,2.0,1314.0,2,0.5,1.0,0.305708,0.361,0.75,0.818731,0.955087,0.305708,0.361,0.75,0.818731,0.955087
101,314.29,1268.81,927.32,954.52,1.369,7,low,2.0,1390.98,1,1.0,1.0,0.313779,0.3155,1.0,0.818731,0.958425,0.313779,0.3155,1.0,0.818731,0.958425
1301,315.86,1259.15,919.1,943.29,1.399,7,low,2.0,1378.65,1,1.0,1.0,0.315787,0.3005,1.0,0.818731,0.959218,0.315787,0.3005,1.0,0.818731,0.959218
3489,317.44,464.39,107.51,146.95,1.075,4,high,15.0,161.265,2,1.0,0.477514,0.088767,0.4625,0.738757,0.22313,0.708409,0.088767,0.4625,0.738757,0.22313,0.708409
3795,324.43,1112.45,776.2,788.02,0.282,5,medium,7.0,1164.3,0,0.5,0.5,0.323181,0.859,0.5,0.496585,0.962014,0.323181,0.859,0.5,0.496585,0.962014
2183,331.89,694.5,321.69,362.61,0.342,7,static,0.0,482.535,1,1.0,1.0,0.248531,0.829,1.0,1.0,0.923106,0.248531,0.829,1.0,1.0,0.923106
5676,334.24,726.03,350.0,391.79,1.11,5,low,2.0,525.0,0,0.5,0.5,0.253733,0.445,0.5,0.818731,0.926718,0.253733,0.445,0.5,0.818731,0.926718
765,335.32,1084.07,709.74,748.75,1.161,7,medium,7.0,1064.61,1,1.0,1.0,0.296691,0.4195,1.0,0.496585,0.951057,0.296691,0.4195,1.0,0.496585,0.951057
3385,336.76,455.71,102.35,118.95,0.522,9,low,2.0,153.525,5,0.4,0.922471,0.225208,0.739,0.661235,0.818731,0.904829,0.225208,0.739,0.661235,0.818731,0.904829
2242,346.7,1352.18,960.66,1005.48,0.384,8,medium,7.0,1440.99,4,0.75,1.0,0.30223,0.808,0.875,0.496585,0.953571,0.30223,0.808,0.875,0.496585,0.953571
4011,346.73,1149.48,753.76,802.75,0.826,10,medium,7.0,1130.64,5,0.8,1.0,0.290004,0.587,0.9,0.496585,0.947848,0.290004,0.587,0.9,0.496585,0.947848
3664,349.12,1306.52,919.01,957.4,1.196,1,high,15.0,1378.515,1,1.0,1.0,0.305485,0.402,1.0,0.22313,0.954991,0.305485,0.402,1.0,0.22313,0.954991
286,359.42,447.68,61.76,88.26,0.44,1,static,0.0,92.64,1,1.0,0.365206,0.04728,0.78,0.682603,1.0,0.616046,0.04728,0.78,0.682603,1.0,0.616046
1651,361.6,747.96,373.6,386.36,1.26,7,low,2.0,560.4,1,1.0,1.0,0.310564,0.37,1.0,0.818731,0.957125,0.310564,0.37,1.0,0.818731,0.957125
5091,364.61,984.68,592.87,620.07,0.663,9,low,2.0,889.305,6,0.5,1.0,0.302748,0.6685,0.75,0.818731,0.9538,0.302748,0.6685,0.75,0.818731,0.9538
1403,366.71,910.43,514.02,543.72,1.369,7,high,15.0,771.03,1,1.0,1.0,0.294813,0.3155,1.0,0.22313,0.950175,0.294813,0.3155,1.0,0.22313,0.950175
5066,367.13,853.33,455.23,486.2,1.433,1,high,15.0,682.845,1,1.0,1.0,0.287979,0.2835,1.0,0.22313,0.946838,0.287979,0.2835,1.0,0.22313,0.946838
2298,367.21,1137.21,744.89,770.0,0.798,7,medium,7.0,1117.335,1,1.0,1.0,0.31086,0.601,1.0,0.496585,0.957246,0.31086,0.601,1.0,0.496585,0.957246
1031,370.08,563.19,175.28,193.11,0.29,1,high,15.0,262.92,1,1.0,1.0,0.265518,0.855,1.0,0.22313,0.93433,0.265518,0.855,1.0,0.22313,0.93433
292,373.48,745.89,326.03,372.41,1.138,6,static,0.0,489.045,2,1.0,1.0,0.238495,0.431,1.0,1.0,0.915673,0.238495,0.431,1.0,1.0,0.915673
2900,375.71,1231.01,807.91,855.3,1.172,4,high,15.0,1211.865,3,1.0,1.0,0.294228,0.414,1.0,0.22313,0.949897,0.294228,0.414,1.0,0.22313,0.949897
1781,384.26,1247.3,841.6,863.04,0.449,7,static,0.0,1262.4,1,1.0,1.0,0.31635,0.7755,1.0,1.0,0.959437,0.31635,0.7755,1.0,1.0,0.959437
3424,389.38,1157.74,737.14,768.36,0.822,5,medium,7.0,1105.71,0,0.5,0.5,0.305098,0.589,0.5,0.496585,0.954825,0.305098,0.589,0.5,0.496585,0.954825
4748,389.58,713.8,316.67,324.22,1.403,7,low,2.0,475.005,1,1.0,1.0,0.317439,0.2985,1.0,0.818731,0.959859,0.317439,0.2985,1.0,0.818731,0.959859
3389,389.79,972.69,574.86,582.9,0.176,10,low,2.0,862.29,5,0.8,1.0,0.324009,0.912,0.9,0.818731,0.962315,0.324009,0.912,0.9,0.818731,0.962315
5739,390.06,1374.16,953.65,984.1,0.48,4,medium,7.0,1430.475,3,1.0,1.0,0.312047,0.76,1.0,0.496585,0.957729,0.312047,0.76,1.0,0.496585,0.957729
3960,393.92,1185.21,768.37,791.29,1.264,6,medium,7.0,1152.555,2,1.0,1.0,0.313447,0.368,1.0,0.496585,0.958292,0.313447,0.368,1.0,0.496585,0.958292
1014,394.27,632.08,223.12,237.81,0.561,1,low,2.0,334.68,2,1.0,0.975217,0.289441,0.7195,0.987609,0.818731,0.947569,0.289441,0.7195,0.987609,0.818731,0.947569
2468,394.6,828.06,404.11,433.46,0.404,9,high,15.0,606.165,6,0.5,1.0,0.284914,0.798,0.75,0.22313,0.945274,0.284914,0.798,0.75,0.22313,0.945274
5605,397.97,740.87,312.33,342.9,0.904,2,high,15.0,468.495,0,0.5,0.5,0.268082,0.548,0.5,0.22313,0.935885,0.268082,0.548,0.5,0.22313,0.935885
3638,400.59,764.43,329.96,363.84,0.286,9,static,0.0,494.94,6,0.5,1.0,0.264881,0.857,0.75,1.0,0.933937,0.264881,0.857,0.75,1.0,0.933937
1350,401.09,1180.36,732.59,779.27,0.24,4,high,15.0,1098.885,3,1.0,1.0,0.290854,0.88,1.0,0.22313,0.948267,0.290854,0.88,1.0,0.22313,0.948267
3968,402.58,814.13,405.12,411.55,0.844,4,static,0.0,607.68,3,1.0,1.0,0.322752,0.578,1.0,1.0,0.961857,0.322752,0.578,1.0,1.0,0.961857
4318,402.86,1052.08,604.73,649.22,0.168,9,static,0.0,907.095,6,0.5,1.0,0.284287,0.916,0.75,1.0,0.944949,0.284287,0.916,0.75,1.0,0.944949
5162,403.34,684.92,254.15,281.58,0.81,2,high,15.0,381.225,0,0.5,0.5,0.261381,0.595,0.5,0.22313,0.931745,0.261381,0.595,0.5,0.22313,0.931745
3410,403.51,553.25,102.1,149.74,0.516,7,static,0.0,153.15,1,1.0,0.723344,0.022266,0.742,0.861672,1.0,0.555436,0.022266,0.742,0.861672,1.0,0.555436
336,407.29,972.36,517.14,565.07,0.661,3,high,15.0,775.71,4,0.5,1.0,0.271545,0.6695,0.75,0.22313,0.937932,0.271545,0.6695,0.75,0.22313,0.937932
600,408.69,474.29,57.3,65.6,1.081,2,low,2.0,85.95,0,0.5,0.5,0.236766,0.4595,0.5,0.818731,0.914327,0.236766,0.4595,0.5,0.818731,0.914327
5017,414.97,1361.15,925.5,946.18,1.15,5,static,0.0,1388.25,0,0.5,0.5,0.318437,0.425,0.5,1.0,0.960242,0.318437,0.425,0.5,1.0,0.960242
1423,415.73,988.34,548.44,572.61,1.196,5,static,0.0,822.66,0,0.5,0.5,0.303953,0.402,0.5,1.0,0.954328,0.303953,0.402,0.5,1.0,0.954328
1795,416.73,1098.77,673.55,682.04,0.793,5,low,2.0,1010.325,0,0.5,0.5,0.32493,0.6035,0.5,0.818731,0.962648,0.32493,0.6035,0.5,0.818731,0.962648
1827,419.51,1089.0,627.08,669.49,0.275,8,low,2.0,940.62,5,0.8,1.0,0.288246,0.8625,0.9,0.818731,0.946973,0.288246,0.8625,0.9,0.818731,0.946973
1073,420.93,929.26,470.83,508.33,1.178,6,low,2.0,706.245,2,1.0,1.0,0.280236,0.411,1.0,0.818731,0.942803,0.280236,0.411,1.0,0.818731,0.942803
2940,424.22,1045.62,613.61,621.4,1.206,1,static,0.0,920.415,2,1.0,1.0,0.32487,0.397,1.0,1.0,0.962626,0.32487,0.397,1.0,1.0,0.962626
4844,431.0,827.62,388.54,396.62,0.517,1,medium,7.0,582.81,2,1.0,1.0,0.319469,0.7415,1.0,0.496585,0.960634,0.319469,0.7415,1.0,0.496585,0.960634
1867,431.74,1412.46,965.04,980.72,1.275,6,low,2.0,1447.56,2,1.0,1.0,0.322501,0.3625,1.0,0.818731,0.961765,0.322501,0.3625,1.0,0.818731,0.961765
2366,437.39,698.81,243.65,261.42,1.307,7,medium,7.0,365.475,1,1.0,1.0,0.284712,0.3465,1.0,0.496585,0.945169,0.284712,0.3465,1.0,0.496585,0.945169
2777,439.0,1243.97,765.17,804.97,0.369,5,high,15.0,1147.755,0,0.5,0.5,0.298657,0.8155,0.5,0.22313,0.951964,0.298657,0.8155,0.5,0.22313,0.951964
4390,440.66,986.8,526.06,546.14,0.595,8,medium,7.0,789.09,5,0.8,1.0,0.307886,0.7025,0.9,0.496585,0.956012,0.307886,0.7025,0.9,0.496585,0.956012
2838,449.11,1210.18,721.42,761.07,0.667,6,medium,7.0,1082.13,2,1.0,1.0,0.296693,0.6665,1.0,0.496585,0.951057,0.296693,0.6665,1.0,0.496585,0.951057
4090,449.97,530.29,32.88,80.32,0.378,2,low,2.0,49.32,0,0.5,0.5,0.0,0.811,0.5,0.818731,0.00186,0.0,0.811,0.5,0.818731,0.00186
59,452.27,1057.21,592.55,604.94,0.111,5,static,0.0,888.825,0,0.5,0.5,0.319394,0.9445,0.5,1.0,0.960605,0.319394,0.9445,0.5,1.0,0.960605
